Year,peak_temp,coef_var_0.30,coef_var_30.60,stratification_duration,stratification_onset_yday,stratified_period_count,stratified_avg_length,bottom_temp_at_strat,sthermo_depth_mean,schmidt_daily_annual_sum,gdd_wtr_0c,gdd_wtr_5c,gdd_wtr_10c,mean_surf_jas,max_surf_jas,mean_bot_jas,max_bot_jas,mean_surf_jan,max_surf_jan,mean_bot_jan,max_bot_jan,mean_surf_feb,max_surf_feb,mean_bot_feb,max_bot_feb,mean_surf_mar,max_surf_mar,mean_bot_mar,max_bot_mar,mean_surf_apr,max_surf_apr,mean_bot_apr,max_bot_apr,mean_surf_may,max_surf_may,mean_bot_may,max_bot_may,mean_surf_jun,max_surf_jun,mean_bot_jun,max_bot_jun,mean_surf_jul,max_surf_jul,mean_bot_jul,max_bot_jul,mean_surf_aug,max_surf_aug,mean_bot_aug,max_bot_aug,mean_surf_sep,max_surf_sep,mean_bot_sep,max_bot_sep,mean_surf_oct,max_surf_oct,mean_bot_oct,max_bot_oct,mean_surf_nov,max_surf_nov,mean_bot_nov,max_bot_nov,mean_surf_dec,max_surf_dec,mean_bot_dec,max_bot_dec,ice_duration_days,ice_on_date,ice_off_date
2000,33.92650521,0.210756113,0.144064063,7,193,14,2.428571429,28.99908799,NA,64.8046219,4424.841519,3108.116854,2042.095276,23.96598564,33.92650521,23.15136575,29.46196863,1.149584771,2.598487919,4.053853115,4.080167785,0.439801493,3.274335468,4.12116678,4.165357739,2.739670944,8.464337966,4.862364845,8.464337966,10.23328421,17.06227681,10.23328421,17.06227681,18.23629305,22.48227448,18.17149117,22.48227448,22.16621298,25.33030682,21.92839976,25.33030682,27.05341866,30.45900654,25.73224915,29.46196863,26.32617126,33.92650521,25.29637081,27.92698667,18.33677972,24.61690945,18.26794769,24.61690945,12.0836505,16.45497344,12.04103217,16.45497344,4.528044589,13.41450082,4.813276083,13.41450082,1.227125492,2.584298554,3.897372698,3.985343223,115,11/17/2000,3/24/2000
2001,32.54900831,0.268271526,0.203934509,8,159,16,2.6875,18.8658365,NA,87.32529371,4247.143967,3014.643089,2044.381718,24.25267172,32.54900831,23.56588804,30.86400308,0.536945887,1.540627183,4.022773167,4.111298679,0.128184656,1.297681261,4.114781736,4.121930394,-0.008228909,0.583602876,4.151292257,4.192054264,5.116491454,16.66158967,6.906239997,16.66158967,18.22646737,24.96466531,17.29801056,22.25977491,23.61837369,27.8588721,21.62564403,27.8588721,27.8487017,30.64376059,26.45914719,29.94280069,26.17019611,32.54900831,25.79220041,30.86400308,18.55533221,22.99174959,18.27566413,22.99174959,9.779747844,16.19772874,9.770103597,16.19772874,6.412881167,9.339227641,6.407017792,9.339227641,2.096748053,4.360363039,3.300998228,4.014672306,154,12/4/2001,4/20/2001
2002,33.49312203,0.553045794,0.190883789,10,194,13,3.461538462,25.24746166,NA,123.6659017,4406.107093,3050.378098,2089.131861,25.01508552,33.49312203,23.45230029,30.07745514,1.651150676,3.267866866,4.073561258,4.09530897,1.327587608,4.144119229,4.123103362,4.199276496,2.259368698,4.444390312,4.080986983,4.211349598,9.77185955,19.20296798,9.757950213,19.20296798,15.08055736,27.26578464,14.77225399,22.07697792,24.82413362,30.81408972,24.27786392,28.64028901,29.49485002,33.49312203,27.04926118,30.07745514,24.88969406,29.27631652,22.97411086,26.40640616,20.51556672,25.56392202,20.22956977,25.56392202,9.47621532,17.20366139,9.456973708,17.20366139,2.242927035,4.282740923,2.715111665,3.983704868,2.557522746,4.416692104,3.989625091,4.047543877,117,11/20/2002,3/31/2002
2003,33.61895893,0.465570838,0.111283547,9,219,16,3.875,24.1527942,NA,128.9782968,4510.256473,3138.681692,2121.955519,24.30733544,33.1132356,23.47252899,27.91607574,2.615722555,4.789443485,4.039550576,4.091047637,1.447953987,3.555828669,4.075413333,4.134463835,2.446494087,6.254727225,4.36747509,6.254727225,11.079357,16.51400704,11.07242895,16.51400704,17.54671797,23.11604513,16.3312866,20.33553624,24.40506474,33.61895893,22.1000208,27.13914033,27.33685822,33.1132356,25.98666742,27.52285143,26.39470812,27.96556671,25.56359359,27.91607574,19.01987679,26.48411342,18.71381919,22.65620304,11.49656732,17.20630964,11.45056099,17.20630964,2.676959257,5.944580391,3.305972238,5.944580391,0.999832542,2.623906514,3.532118496,3.97257965,125,11/25/2003,3/25/2003
2004,30.84672355,0.291501428,0.19456994,15,179,14,3.571428571,19.79133726,NA,78.24973252,4420.506154,3063.830067,1987.327201,23.52179738,30.84672355,22.60423303,28.38325864,0.992977243,2.872459918,4.031666463,4.056928596,0.400117828,1.598898699,4.087310852,4.129889177,2.386375258,9.944225145,4.723878143,9.944225145,11.77462142,16.89363272,11.66919607,16.89363272,17.7562404,21.838881399999998,17.65803204,21.838881399999998,22.83402857,26.09733386,21.72755888,25.75791509,27.24139799,30.84672355,25.2475446,28.38325864,22.6973912,28.5322379,21.97805998,26.79742558,20.53009648,23.66328888,20.51985655,23.66328888,11.03578758,14.96631831,11.01068889,14.96631831,4.293890696,11.59997305,4.293890696,11.59997305,2.512050322,4.440541617,3.848696167,4.037532394,123,11/29/2004,3/27/2004
2005,34.25476772,0.323908346,0.259379109,5,194,19,1.894736842,27.61351195,NA,70.25603448,4622.306508,3288.88444,2229.063934,24.99920667,34.25476772,24.34184394,30.17808528,1.327246621,3.302117389,4.045138368,4.087078292,1.127443435,3.432176014,4.1037137,4.142219866,1.61955695,4.697250327,4.119082185,4.144568414,12.86556754,18.75608382,12.79067112,18.75608382,15.73903934,21.04855193,15.57805126,20.34073333,25.54909866,31.39320377,24.58088021,28.53997827,28.09562902,34.25476772,27.03207525,30.17808528,25.47846317,28.73535207,24.7759915,28.73535207,21.30433853,24.70657577,21.11331911,23.94768021,12.46105492,20.89901887,12.41606967,20.89901887,4.752071874,8.930754685,5.280473475,8.930754685,0.962450592,3.178160421,4.034970402,4.120257173,123,11/18/2005,4/1/2005
2006,34.83459126,0.349300436,0.189464754,11,179,14,3.642857143,23.60686166,1.976748284,134.8321622,4434.891522,3149.641096,2184.462113,24.65338994,34.83459126,23.15526791,28.50275541,0.287707269,2.249599778,4.148849275,4.192556314,0.544941552,4.219154836,4.207645494,4.231794733,1.512507778,5.303915945,4.231855152,5.303915945,12.12742189,16.63080664,12.11233157,16.63080664,17.77574753,27.18532446,17.67086377,27.18532446,25.15172006,28.8320608,23.59895357,26.29386468,28.9516529,34.83459126,25.4509887,28.27054993,26.31794593,31.37036358,25.61377725,28.50275541,18.49181035,23.73072588,18.24256344,22.85654141,8.847146919,17.11267793,8.845462048,17.11267793,2.539252911,6.397959834,3.135474666,6.397959834,2.283731322,4.855716159,4.026792775,4.053478574,132,11/17/2006,3/30/2006
2007,33.14150374,0.595601775,0.086142099,5,198,17,2.117647059,22.96549875,NA,76.70942196,4549.046906,3285.951617,2283.261463,24.35540174,33.14150374,23.5217068,29.44219466,0.868692756,4.145538518,4.105514992,4.147088414,0.47314722,1.867980808,4.117411414,4.12217522,0.701650109,4.740037058,4.157338597,4.192654406,9.687312385,17.70849893,9.539831925,17.70849893,20.15072059,22.61487901,20.00819923,22.38699721,24.9306726,30.10875095,24.19103679,27.89858543,27.19701759,33.14150374,25.55141561,29.44219466,25.93892492,28.62726438,25.20988376,28.16444956,19.78275809,24.98040936,19.67989151,24.98040936,13.87535379,21.6264922,13.84835134,21.6264922,3.485604994,9.053564833,3.497337798,9.053564833,1.340436532,3.521396363,3.950672731,4.008319048,134,11/24/2007,3/31/2007
2008,34.64181594,0.391310456,0.131691599,7,171,14,2.642857143,21.14728154,1.900680662,69.9424018,4298.859167,2983.494491,1991.789165,23.93845216,34.64181594,23.27213256,27.94714002,1.15618067,3.169882626,4.106547125,4.134227006,1.077822158,2.843980807,4.160845201,4.191023738,1.408096608,4.75797561,4.180296562,4.209644863,7.949186395,15.88954948,8.25970919,15.88954948,15.91215657,19.97065017,15.84092283,19.97065017,23.70117989,29.66571176,22.63632631,25.10193437,26.93427702,34.64181594,25.5730783,27.94714002,25.28583329,29.58191296,24.74144261,27.7492168,19.45047263,23.03635088,19.37620159,23.03635088,11.54189995,17.45145488,11.52818687,17.45145488,4.371567851,11.67982928,4.626011013,11.67982928,1.742386668,3.426157196,4.044697462,4.105597889,135,11/19/2008,4/7/2008
2009,33.72178454,0.381535642,0.101857468,11,169,19,2.947368421,22.49486063,NA,103.0107204,4204.837354,2866.957638,1894.114261,23.09003706,28.85473943,22.21885907,26.05728479,1.191282344,1.991834887,4.101954448,4.108879005,0.838091586,2.737070848,4.110033451,4.161409743,1.210640452,4.424044403,4.138403609,4.177413178,9.120268692,14.9167949,9.236705863,14.9167949,17.71495002,21.56029566,17.49847578,21.23941693,23.22086186,33.72178454,21.05627364,25.25066473,23.81842458,27.47247117,22.82624173,25.51997246,23.44450337,28.85473943,22.64826797,26.05728479,21.9710881,26.80677256,21.14750781,23.62255064,8.26500966,13.03037997,8.226713307,13.03037997,5.51737366,8.541366903,5.51374107,8.541366903,1.305857628,2.733792615,2.972487306,3.723322397,136,12/5/2009,4/4/2009
